                                                                                                                             ,,,,,,,23/6/2026,,,,
                                                                      ,,,,SORSZ,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2271,HIDRATEI,CAIXA VERTICAL P,OK - Micro 230g - 46 x 98 - (ACOPLOU 10.000 - RODAR 6.000 FOLHAS) ,107.000,53.500,10/11,2457B,1X0,,,
2292,BELEZA BRASILEIRA,CAIXA P BELEZA BRASILEIRA,OK - Micro 230g - 46 x 98 - (ACOPLOU 10.000 - RODAR 6.000 FOLHAS) ,56.665,28.333,1/12,2457B,3X0,,,
2474,GUDAY,CAIXA E-COMMERCE 2 POTES,OK /Micro Pardo 230g - 59 x 90 (RODAR 6.000 FOLHAS),38.500,19.250,10/3,M2409B,4X0,,,
2073,HIDRATEI,CAIXA G HIDRATEI ,"Ok - Micro 230g - 81 x 71,5 - em estoque (ACOPLOU 58.500 )",80.300,80.300,6/10,FACA NOVA - 2458B,1X0,53:47,,55.000
2274,BELEZA BRASILEIRA,CAIXA G BELEZA BRASILEIRA,"OK / Micro 230g - 71,5 x 81 ( ACOPLOU  21.600  - RODAR 6.000 FOLHAS)",29.460,29.460,17/11,2458B,3X0,,,
2477,PETALA BEAUTY,CAIXA E-COMMERCER PETALA BEAUTY P - NEW FAVORITES E GREAT TASTES M2369,OK /Micro Pardo 230g - 99 x 56 cm (RESTANTE),44.000,22.000,16/3,2369B,2X0,,,
,,,,,,,,,,,
2096,BELEZA BRASILEIRA,CAIXA E-COMMERCE PP 102X90X86 M 2258B,"OK / Micro 230g - 46 x 84,5 (Faltaram 2600 fohas de micro)",38.500,12.833,27/10,2258B,3X0,,,12.800
2276,BELEZA BRASILEIRA,CAIXA E-COMMERCE 102X90X86 - PP BELEZA BRASILEIRA,"OK / MICRO 230G 46 x 84,5",10.000,3.333,1/12,2258B,3X0,,,
2133,HIDRATEI,CAIXA GG HIDRATEI,"Micro 230g - 68,5 x 99,5 cm (Acoplou 8000 de cada fls aprox.)",25.850,12.925,27/10,2471B - PARTE 1 / 2472B - PARTE 2,1X0,17:44,,8.000
2277,HIDRATEI,CAIXA GG HIDRATEI PARTE 1 + PARTE 2,"OK / MICRO 230G 68,5 x 99,5 / 101,5 x 71,5",18.800,18.800,1/12,2474B / 2472B,1X0,,,
2273,HIDRATEI,CAIXA G HIDRATEI ,"OK / Micro 230g - 71,5 x 81",56.100,56.100,24/11,2458B,1X0,,,
2635,ESAB,CAIXA ELETRODO OK COD 1001540,"Micro Pardo 230g - 91 x 58,5 cm",22.000,11.000,20/5,2395B,2X0,,,
2636,ESAB,CAIXA DE PAPELÃO 5KG ELETRODO OK 1000678,Micro Pardo 230g - 88 x 51 cm,20.000,6.667,28/4,2367,2X0,,,
2676,LETZ,CAIXA E-COMMERCE 213X160X65,"Micro Pardo 230g - 53 x 85,5 cm",33.000,16.500,11/5,2062B,4X0,,,
2610,GUDAY,CAIXA E-COMMERCE GUDAY 4 POTES,"Micro Pardo 230g - 72,5 x 58 cm",22.000,22.000,11/5,2316B,4X0,,,
2697,BOREDA,CAIXA P/ ALUMINIO 30X100,"Micro Pardo 230g - 74 x 44,5 cm",33.000,11.000,3/6,1879B,4X0,,,
,,,,,263.901,,,,,,
,,,,,,,,,,,
1617,CERVEJARIA IMPERIAL,CAIXA IMPERIO LAGER GFA 275ML C/ MICRO 280,"80,5 x 51",5.000,5.000,25/3,2400B,6x0,07:10,,
  ,,,,ACOPLADEIRA BIMAC HRB,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2639,CERVEJARIA IMPERIO,CAIXA 18 GARRAFAS IMPERIO GOLD 210ML,"MICRO 250G 80 x 51,0 ",104.000,104.000,17/4,2401B,6X0,,,
2652,INDUBRAS,CARTUCHO PROVERMIN PO DISPLAY,"MICRO 230G 90 x 54,5",55.000,27.500,20/4,M2532B,4X0,,,
2637,CERVEJARIA BUZIOS,CARTUCHO P/ GARRAFAS DE CERVEJA BUZIOS 600ML + CALDERETA 300ML,OK / Micro Pardo 230g - 47 x 90 cm,6.050,6.050,20/4,1526B,5X0,,,
2398,ESAB,CAIXA DE PAPELÃO P/ 5KG DE ELETRODO SERRALHEIRO CÓD 1000841,OK / MICRO 230G 88 x 51 (RESTANTE APROX. 4.000 FOLHAS,55.000,18.333,2/2,2367B,2X0,,,
2592,ESAB,CAIXA P/5KG DE ELETRODO SERRALHEIRO CÓD 100841,"OK / ,Micro Pardo 230g - 88 x 51 cm",55.000,18.333,23/4,M2367,2X0,,,
2668,CAFÉ 3 CORAÇÕES,CAIXA CAPP CAFÉ IT 3C MULTISABOR 50X20G - 2004525,Restante,165.000,82.500,10/4,2430B,6X0,,,
2640,CERVEJARIA IMPERIO,CAIXA 18 GARRAFAS IMPERIO GOLD 210ML,"MICRO 250G 80 x 51,0 ",104.000,104.000,25/4,2401B,6X0,,,
,,,,,360.717,,,,,,
,,,,ACOPLADEIRA JATO,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
,,, ,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,EBOX,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2467,AÇAI SABOR E SAUDE,CAIXA DE CUPUAÇU 10L,OK TAMPA E FUNDO,2.200,1.100,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2464,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L CREMOSA, ,44.000,22.000,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
